Year,Company,Energy_Consumption_kWh,Carbon_Emissions_tCO2,Water_Usage_KL,Waste_Generated_kg,Female_Employees_Percent,Board_Independence_Percent,CSR_Spend_INR,Employee_Count,Loan_Portfolio_Value_INR,ESG_Compliance_Score,Environmental_Score,Social_Score,Governance_Score,Total_ESG_Score,ESG_Risk_Category
2025,Bharat MicroFinance,39600,140.59,1019,72,46.17,69.73,999985,1628,377320815,55.97,0.314713461,28.701985,69.73,29.65548088,High Risk
2025,SustainFin Services,23408,168.61,1806,1080,54.4,81.42,1076999,749,872489497,68.04,0.255126762,33.716999,81.42,34.6431504,High Risk
2025,Bharat MicroFinance,10736,1984.28,1892,537,28.25,54.3,3225983,1015,800651276,77.86,0.038809019,20.175983,54.3,22.35831851,High Risk
2024,NextGen Lending,9993,1961.09,1562,361,39.99,55.87,917864,1408,680583253,68.18,0.042605068,24.911864,55.87,24.25160123,High Risk
2023,GreenCredit NBFC,48871,735.57,658,711,37.78,73.58,4351930,1625,732546324,85.47,0.100586163,27.01993,73.58,30.22021347,High Risk
2023,EcoLend Capital,36247,652.87,2472,654,36.63,80.22,4657286,1959,49453917,67.86,0.074231517,26.635286,80.22,32.08627841,High Risk
2024,NextGen Lending,33821,377.32,4985,453,52.32,61.7,1442276,1311,353214188,34.26,0.11291589,32.834276,61.7,28.40544916,High Risk
2023,Bharat MicroFinance,8213,725.37,3901,823,20.06,44.45,3012930,692,792340163,30.9,0.066487353,15.04893,44.45,17.87627394,High Risk
2024,Indifi Finance,48123,803.28,3942,1616,35.66,77.33,729257,976,385843591,76.67,0.05802959,22.125257,77.33,29.85978894,High Risk
2025,FutureTrust Finance,34495,1521.74,3796,1548,16.03,61.33,1094306,1042,349093205,41.05,0.035058446,10.712306,61.33,21.62671518,High Risk
2024,NextGen Lending,11208,1745.96,3327,1690,27.32,85.51,4109620,373,108637552,30.79,0.034603824,20.50162,85.51,31.81732753,High Risk
2025,SustainFin Services,14644,1518.8,2242,1558,42,52.66,4091321,1318,429603640,94.6,0.041766112,29.291321,52.66,24.60210274,High Risk
2025,EcoLend Capital,11453,1328.3,439,506,46.22,63.16,4362409,572,661622000,52.04,0.10107021,32.094409,63.16,28.61675078,High Risk
2022,NextGen Lending,16093,1555.21,3171,1007,49.17,75.41,4961291,554,691983948,37.19,0.037044902,34.463291,75.41,32.97680526,High Risk
2024,UrbanGrowth NBFC,16263,1503.15,4963,394,18.06,52.26,1039702,1608,867225120,79.62,0.034500193,11.875702,52.26,19.25451068,High Risk
2022,Bharat MicroFinance,5305,1003.92,3863,689,22.38,51.34,1850871,530,209548237,47.54,0.05326484,15.278871,51.34,20.00696724,High Risk
2024,Indifi Finance,39152,738.12,1337,1961,31.06,76.43,4970112,931,324532057,54.1,0.077396269,23.606112,76.43,30.04179211,High Risk
2024,FutureTrust Finance,37021,637.28,2361,91,30.25,49,3666638,955,459734474,57.26,0.07628359,21.816638,49,21.27550484,High Risk
2022,Indifi Finance,22958,1390.78,1200,663,25.16,45.96,4473098,343,364050122,93.69,0.055067573,19.569098,45.96,19.68075643,High Risk
2022,EcoLend Capital,5872,1922.68,1655,274,52.47,52.95,3194663,1677,568425090,57.61,0.044040174,34.676663,52.95,26.30561497,High Risk
2024,Bharat MicroFinance,46128,1204,1594,1598,36.36,81.02,2856748,648,433394243,94.28,0.052693533,24.672748,81.02,31.72890181,High Risk
2023,GreenCredit NBFC,26962,1833.8,1761,662,41.28,83.19,4150200,1544,827218953,33.43,0.039961082,28.9182,83.19,33.64844443,High Risk
2025,FutureTrust Finance,47563,127.04,4040,972,44.99,45.22,3220688,1823,452867063,43.59,0.322917946,30.214688,45.22,22.75957358,High Risk
2022,Bharat MicroFinance,22414,1609.49,1669,900,36.76,45.48,651195,705,38247091,51.44,0.044165877,22.707195,45.48,20.47382485,High Risk
2025,Indifi Finance,14926,1721.85,4900,641,48.35,81.86,916956,1984,288299386,35.84,0.031363192,29.926956,81.86,33.54863208,High Risk
2023,GreenCredit NBFC,44673,1298.89,4495,96,54.39,87.3,3679046,188,341530785,74.99,0.038141154,36.313046,87.3,37.09917026,High Risk
2023,SustainFin Services,42210,1874.72,2734,1514,30.68,64.01,4274563,1125,212738836,33.81,0.033020185,22.682563,64.01,26.02097697,High Risk
2023,EcoLend Capital,20290,1220.83,4379,1919,40.75,82.45,1958569,211,79054463,44.33,0.041094035,26.408569,82.45,32.67400831,High Risk
2022,EcoLend Capital,8667,557.02,2107,1823,27.68,84.47,521171,916,333828879,86.88,0.089510366,17.129171,84.47,30.51555545,High Risk
2023,FutureTrust Finance,22660,509.86,3788,821,17.76,58.04,4178045,319,718095259,50.01,0.087696574,14.834045,58.04,21.89729213,High Risk
2022,Indifi Finance,11553,1156.09,3188,1688,16.08,65.23,1139802,330,422306237,61.75,0.046606399,10.787802,65.23,22.82398316,High Risk
2023,SustainFin Services,21926,1822.32,2515,455,24.3,68.56,3518728,1200,687813412,46.83,0.03524671,18.098728,68.56,26.01171708,High Risk
2025,UrbanGrowth NBFC,9808,237.5,664,1952,21.49,78.74,1682006,364,268953189,32.53,0.216660503,14.576006,78.74,28.081466,High Risk
2025,FutureTrust Finance,33612,1248.34,2465,1639,43.89,62.96,842661,1608,892851269,39.87,0.045105476,27.176661,62.96,27.05904049,High Risk
2024,Bharat MicroFinance,45499,1562.63,1457,1814,33.53,65.37,2075551,679,326901946,47.52,0.046847479,22.193551,65.37,26.28780429,High Risk
2025,UrbanGrowth NBFC,33015,319.26,2407,1202,36.6,43.73,2721716,1030,839175322,67.84,0.138662058,24.681716,43.73,20.57897962,High Risk
2024,FutureTrust Finance,38351,321.86,979,1252,18.27,42.71,1482727,1875,874957825,72.17,0.155703398,12.444727,42.71,16.60869946,High Risk
2025,Indifi Finance,14138,795.64,3354,518,15.78,76.98,2671108,165,789115409,56.05,0.061340478,12.139108,76.98,26.76026859,High Risk
2022,SustainFin Services,45463,620.37,755,163,32.41,64.11,485518,1414,892356350,90.3,0.104872627,19.931518,64.11,25.25440445,High Risk
2025,Indifi Finance,41241,476.8,3424,624,25.23,44.48,499806,781,282834260,42.12,0.093381731,15.637806,44.48,18.07269449,High Risk
2024,EcoLend Capital,6198,477.52,3292,1871,39.88,52.04,2897649,137,438970262,82.11,0.097719397,26.825649,52.04,23.69878246,High Risk
2024,UrbanGrowth NBFC,32447,348.27,1473,1676,35.47,73.87,3023723,1711,474624225,86.03,0.136144602,24.305723,73.87,29.50717474,High Risk
2023,GreenCredit NBFC,41763,1260.62,1412,1567,48.14,65.24,883978,560,22271373,82.63,0.053695216,29.767978,65.24,28.52387149,High Risk
2022,NextGen Lending,17113,1407.44,2092,1235,48.54,79.72,4439411,210,295343930,56.2,0.044513792,33.563411,79.72,34.00282882,High Risk
2025,Bharat MicroFinance,33749,1435.58,993,78,36.49,59.67,270120,602,893705295,38.65,0.058963698,22.16412,59.67,24.57382148,High Risk
2023,EcoLend Capital,42303,1111.47,2919,1653,51.27,45.75,3525622,1878,189020518,38.85,0.046975038,34.287622,45.75,24.03007662,High Risk
2025,EcoLend Capital,43639,1910.52,4514,760,52.31,53.38,1472799,767,666276219,34.06,0.028270157,32.858799,53.38,25.88294776,High Risk
2025,UrbanGrowth NBFC,24687,1773.01,3288,874,24.77,45.5,1740883,847,137199954,33.99,0.032899807,16.602883,45.5,18.64402482,High Risk
2023,Bharat MicroFinance,7447,1919.5,1262,509,54.1,64.02,3998532,217,122230552,63.35,0.048639019,36.458532,64.02,30.16301521,High Risk
2023,FutureTrust Finance,14408,838.71,2024,338,54.44,63.71,1514429,707,53390712,32.98,0.0645966,34.178429,63.71,29.39236734,High Risk
2023,EcoLend Capital,44612,1767.79,900,415,17.6,43.7,4273644,1082,394106736,67.55,0.05663292,14.833644,43.7,17.58274637,High Risk
2023,NextGen Lending,22674,1549.46,2389,1545,15.09,49.57,880465,134,65123071,34.85,0.039696102,9.934465,49.57,17.86721794,High Risk
2023,SustainFin Services,17413,745.95,502,1175,17.34,88.49,2792483,1101,342571175,81.83,0.115106704,13.196483,88.49,30.55198758,High Risk
2025,EcoLend Capital,12549,302.53,4641,754,28.99,89.17,1035106,1990,177792210,35.75,0.141073045,18.429106,89.17,32.33616102,High Risk
2023,SustainFin Services,28071,1396.98,375,168,47.32,57.13,1318861,407,718543933,67.91,0.109701913,29.710861,57.13,26.09613907,High Risk
2022,Indifi Finance,13693,359.26,3191,1491,35.18,47.23,2294503,1886,259979724,83.44,0.122932319,23.402503,47.23,21.23892383,High Risk
2024,Bharat MicroFinance,48831,658.17,4057,514,26.85,49.42,3619735,1519,233648789,60.14,0.068783562,19.729735,49.42,20.77243392,High Risk
2023,FutureTrust Finance,21770,1050.69,1402,153,17.2,44.07,3243170,822,464039029,79.69,0.060846267,13.56317,44.07,17.31428951,High Risk
2023,SustainFin Services,46371,1391.78,2891,99,30.83,44.27,2473886,1669,462558096,65.6,0.039764163,20.971886,44.27,19.58847147,High Risk
2025,EcoLend Capital,7006,1859.83,4376,1770,16.45,49.65,4496287,1291,744650017,72.87,0.032644962,14.366287,49.65,19.21794408,High Risk
2023,FutureTrust Finance,10213,1227.16,4702,903,21.91,63.52,3892486,1287,158637444,58.32,0.041913283,17.038486,63.52,24.18431111,High Risk
2023,NextGen Lending,41636,1375.68,1404,866,50.15,75.64,2024126,507,310987166,31.68,0.051164581,32.114126,75.64,32.34670363,High Risk
2023,FutureTrust Finance,14530,689.03,1492,524,45.47,47.9,4115369,99,741073128,84.44,0.080224557,31.397369,47.9,23.82130052,High Risk
2025,SustainFin Services,11637,1405.86,4110,768,54.83,60.85,3446513,1181,854236917,86.89,0.038329589,36.344513,60.85,29.17368574,High Risk
2023,Bharat MicroFinance,9964,931.8,1793,1664,50.78,44.28,3044964,1814,339112284,52.01,0.06267024,33.512964,44.28,23.3629573,High Risk
2024,SustainFin Services,39070,1728.17,3760,1257,49.23,71.08,3093694,662,662999473,45.92,0.031892447,32.631694,71.08,31.12626518,High Risk
2025,GreenCredit NBFC,12749,845.66,4789,904,21.99,61.54,4509507,1850,133919718,43.7,0.055917815,17.703507,61.54,23.79541923,High Risk
2024,GreenCredit NBFC,5846,989.72,2438,1213,40.93,79.97,4608941,1409,193245520,84.5,0.057852353,29.166941,79.97,32.76422324,High Risk
2025,FutureTrust Finance,18390,921.92,753,1804,39.02,84.09,4586880,1895,565137519,91.05,0.084859671,27.99888,84.09,33.66060787,High Risk
2023,UrbanGrowth NBFC,18735,1641.13,2617,162,51.72,52.17,4717948,1655,827652223,63.41,0.037438239,35.749948,52.17,26.3909597,High Risk
2024,Bharat MicroFinance,28905,1912.03,2992,1641,46.24,60.05,2852713,1476,310980483,30.96,0.031984795,30.596713,60.05,27.20680782,High Risk
2025,UrbanGrowth NBFC,19876,721.82,4133,803,45.99,64.87,4755239,1049,792708269,70.21,0.064183485,32.349239,64.87,29.19144509,High Risk
2022,GreenCredit NBFC,18967,1002.55,3373,281,27.99,89.81,667511,1671,27334551,45.42,0.050374113,17.461511,89.81,32.20160295,High Risk
2023,EcoLend Capital,23262,1441.26,872,186,19.98,85.79,4967114,1078,490647225,57.95,0.06344682,16.955114,85.79,30.84891293,High Risk
2025,Indifi Finance,41873,1801.23,2614,672,29.76,88.5,1478973,1703,397349771,76.77,0.034400164,19.334973,88.5,32.36425197,High Risk
2022,FutureTrust Finance,25014,1038.03,2801,926,23.34,63.2,1040206,1833,22560824,32.79,0.050444321,15.044206,63.2,23.49343953,High Risk
2025,Indifi Finance,29054,306.9,4844,974,44.11,89.98,1755372,1119,486991319,69.97,0.137561403,28.221372,89.98,35.51543616,High Risk
2022,GreenCredit NBFC,34955,800.48,3604,1238,33.37,41.61,2534900,154,458068531,42.23,0.059152349,22.5569,41.61,19.27373094,High Risk
2023,SustainFin Services,28051,1145.69,1889,1478,24.29,88.39,1858031,1665,172087482,60.78,0.051864358,16.432031,88.39,31.46735504,High Risk
2024,NextGen Lending,33385,893.3,4152,168,41.32,49.62,830002,1015,542481864,57.16,0.052901831,25.622002,49.62,22.59376133,High Risk
2022,FutureTrust Finance,40587,454.46,1535,1586,17.76,88.94,2352680,1659,97754848,50.87,0.108299674,13.00868,88.94,30.62792387,High Risk
2025,GreenCredit NBFC,32483,170.28,1333,1574,51.71,62.74,4625759,1299,192023152,37.59,0.258336398,35.651759,62.74,29.62086226,High Risk
2023,Bharat MicroFinance,32653,1406.08,4481,381,38.13,68.97,498010,1635,245300768,60.76,0.036061569,23.37601,68.97,27.71822763,High Risk
2022,EcoLend Capital,45845,1986.2,4280,1650,33.44,85.37,2810213,1028,708897896,68.66,0.027802683,22.874213,85.37,32.48438497,High Risk
2025,NextGen Lending,49790,1846.49,2357,716,24.96,89.21,3616279,944,647073135,68,0.034993297,18.592279,89.21,32.35468102,High Risk
2025,FutureTrust Finance,47018,1398.21,3471,1353,36.92,48.58,4386846,1932,840057526,79.4,0.037889102,26.538846,48.58,22.55080944,High Risk
2025,FutureTrust Finance,35894,1698.91,1544,1417,26.49,70.45,4449103,110,357656364,50.71,0.043810354,20.343103,70.45,27.25545504,High Risk
2022,Bharat MicroFinance,34842,585.88,2763,226,30.78,74.64,4576881,1437,820287812,94.25,0.07999216,23.044881,74.64,29.33746116,High Risk
2022,UrbanGrowth NBFC,24648,1282.63,2180,595,50.54,75.41,4504832,799,457252358,54.79,0.046164528,34.828832,75.41,33.09011541,High Risk
2022,SustainFin Services,36756,215.15,260,1176,22.77,50.51,4559140,286,419070056,30.86,0.302117611,18.22114,50.51,20.74018904,High Risk
2024,FutureTrust Finance,27407,1443.65,3613,1960,28.92,43.5,1293973,1121,232534139,43.91,0.037105507,18.645973,43.5,18.6586341,High Risk
2022,SustainFin Services,49561,1942.76,2091,1197,41.23,58.81,1410782,1819,178453083,60.02,0.035541782,26.148782,58.81,25.50185131,High Risk
2022,GreenCredit NBFC,22058,1735.51,1799,1898,43.99,80.58,4184507,344,560664391,63.98,0.041083962,30.578507,80.58,33.36398568,High Risk
2022,EcoLend Capital,15070,1115.44,3556,532,19.6,88.53,4896935,1631,359013373,65.35,0.046287444,16.656935,88.53,31.57459548,High Risk
2024,NextGen Lending,44025,1598.61,2138,1123,52.45,62.23,1379097,1328,313272739,86.87,0.039734974,32.849097,62.23,28.53962309,High Risk
2022,NextGen Lending,38779,1893.41,1805,735,16.08,85.71,1075265,126,84463501,51.19,0.038520018,10.723265,85.71,28.94538751,High Risk
2025,EcoLend Capital,21616,510.43,968,315,17.68,76.12,2284616,1704,469680899,79.4,0.110744896,12.892616,76.12,26.74808276,High Risk
2022,FutureTrust Finance,35373,1607.19,1284,1969,45.48,45.9,4934381,1628,849171991,69.04,0.049100749,32.222381,45.9,23.4563546,High Risk
2025,FutureTrust Finance,39941,612.71,406,1801,45.86,57.27,4203408,612,571413155,50.65,0.139926473,31.719408,57.27,26.75279299,High Risk
2025,GreenCredit NBFC,41152,1766.2,2099,1164,41.64,77.22,4534820,1959,72033724,77.13,0.037669017,29.51882,77.22,32.03671361,High Risk
2025,UrbanGrowth NBFC,5797,286.87,2799,312,35.87,62.36,4347964,1629,514186503,48.13,0.155329186,25.869964,62.36,26.53112087,High Risk
2024,UrbanGrowth NBFC,44889,438.61,2524,447,26.55,72.8,3761970,70,431047137,56.57,0.103751402,19.69197,72.8,27.78909156,High Risk
2024,UrbanGrowth NBFC,18594,1469.17,958,1812,48.6,77.98,3484438,1757,294157984,54.27,0.060154921,32.644438,77.98,33.21139337,High Risk
2024,SustainFin Services,12690,432.08,3800,796,42.95,89.05,4359676,1755,44221117,31.35,0.102834252,30.129676,89.05,35.7950365,High Risk
2022,UrbanGrowth NBFC,17669,400.3,1826,448,53.72,85.91,4173802,345,339436054,34.78,0.118052299,36.405802,85.91,36.74196152,High Risk
2025,EcoLend Capital,23973,1155.39,4771,1380,33.17,57.21,4281016,909,355870479,36.45,0.042159742,24.183016,57.21,24.4347687,High Risk
2024,NextGen Lending,26085,1686.48,325,744,33.82,80.14,1672572,1488,15876947,80.32,0.117175819,21.964572,80.14,30.67824193,High Risk
2024,NextGen Lending,33787,610.09,2513,1710,46.66,58.62,789960,877,722003857,55.11,0.078389935,28.78596,58.62,26.25314397,High Risk
2022,SustainFin Services,30084,1698.16,3517,413,54.72,72.31,3318921,937,268565837,70.86,0.033082111,36.150921,72.31,32.55150914,High Risk
2024,GreenCredit NBFC,29051,1635.11,2768,236,50.86,43.08,1798973,1481,590340560,88.65,0.036334003,32.314973,43.08,22.6330255,High Risk
2022,EcoLend Capital,16554,1200.3,1269,1942,26.9,79.2,1116149,1861,303057286,64.02,0.058777915,17.256149,79.2,28.96035587,High Risk
2023,NextGen Lending,42639,1328.47,4142,378,53.14,89.56,2510681,788,170260304,85.27,0.038056285,34.394681,89.56,37.20162681,High Risk
2024,EcoLend Capital,18354,176.84,3395,1067,22.92,66.95,2921855,53,230078052,91.5,0.236664214,16.673855,66.95,25.18182219,High Risk
2023,NextGen Lending,10289,797.56,3124,1880,31.86,86.63,2377042,1326,731718912,42.69,0.062671775,21.493042,86.63,32.46198131,High Risk
2022,Indifi Finance,29744,600.45,3709,480,50.48,83.64,1965572,360,530840046,82.84,0.075713744,32.253572,83.64,34.7983571,High Risk
2025,GreenCredit NBFC,22945,385.01,843,1106,27.54,40.58,3510396,1081,301090811,77.74,0.140788068,20.034396,40.58,18.24063403,High Risk
2024,GreenCredit NBFC,29243,840.35,4242,594,29.09,44.48,2889294,1039,553061212,89.83,0.055697237,20.343294,44.48,19.46926709,High Risk
2022,Bharat MicroFinance,44054,774.32,948,1111,54.79,61.82,2631559,1729,361959976,70.98,0.083984781,35.505559,61.82,29.23126161,High Risk
2025,Indifi Finance,29227,1484.89,3996,785,33.04,53.23,377845,105,480798290,77.73,0.035471978,20.201845,53.23,22.04374229,High Risk
2025,SustainFin Services,32748,1236.38,3936,582,52.9,60.12,1542158,334,284246496,51.48,0.040890551,33.282158,60.12,28.03700362,High Risk
2023,NextGen Lending,21958,1834.89,2016,630,25.96,65.53,4537442,188,660955215,42.78,0.038046869,20.113442,65.53,25.70825135,High Risk
2022,Bharat MicroFinance,14934,376.27,4750,988,35.03,63.88,1226337,508,343397886,58.38,0.11463127,22.244337,63.88,25.88315361,High Risk
2025,NextGen Lending,15550,213.52,1973,316,30.31,48.12,3835083,738,331829990,77.5,0.204470613,22.021083,48.12,21.12411315,High Risk
2024,NextGen Lending,9024,1115.75,1272,526,37.57,47.42,2536015,1505,819559074,67.51,0.062759699,25.078015,47.42,21.77450838,High Risk
2024,UrbanGrowth NBFC,36772,101.95,4249,1261,50.94,60.68,2403936,1495,742850436,45.77,0.400225514,32.967936,60.68,28.25447101,High Risk
2023,UrbanGrowth NBFC,13722,1596.67,3848,735,54.64,74.55,3034692,276,890333482,50.83,0.035034668,35.818692,74.55,33.12462147,High Risk
2025,UrbanGrowth NBFC,7120,1061.35,2948,1455,35.04,69.56,3286448,399,325324827,85.06,0.052077724,24.310448,69.56,28.18196549,High Risk
2022,UrbanGrowth NBFC,35089,1027.32,720,505,22,44.3,2814890,1313,315318657,82.02,0.081457897,16.01489,44.3,18.12705016,High Risk
2024,UrbanGrowth NBFC,26348,788.74,4689,780,17.02,54.14,1509290,1442,676018017,72.62,0.058250356,11.72129,54.14,19.78168714,High Risk
2025,Indifi Finance,10877,812.45,4391,1129,21.38,60.73,2711137,880,246560755,71.54,0.058824069,15.539137,60.73,22.90427073,High Risk
2025,GreenCredit NBFC,48488,919.15,284,1567,44.86,56.62,2909607,1808,839636474,65.18,0.149770981,29.825607,56.62,25.99359049,High Risk
2023,SustainFin Services,23904,130.46,1259,1882,38.77,62.35,4657453,679,804975131,52.71,0.331690845,27.919453,62.35,27.21351224,High Risk
2024,EcoLend Capital,25792,258.74,3199,412,44.95,61.95,3526093,725,659319638,67.26,0.165136429,30.496093,61.95,27.79988247,High Risk
2024,UrbanGrowth NBFC,31037,1059.59,615,1372,53.16,81.65,1486090,1514,278605108,46.94,0.087497527,33.38209,81.65,34.54462601,High Risk
2022,Indifi Finance,22335,385.23,4890,1637,43.27,81.72,1923392,1018,340883263,53.22,0.111312226,27.885392,81.72,32.92614249,High Risk
2024,Bharat MicroFinance,19659,1579.65,4516,1062,46.1,87,3403347,490,866307263,93.36,0.033491131,31.063347,87,35.43240055,High Risk
2022,Bharat MicroFinance,34684,621.52,4101,353,32.09,66.18,619815,777,845003558,74.67,0.072538588,19.873815,66.18,25.84515994,High Risk
2024,NextGen Lending,5964,286.01,1542,1853,35.45,53.82,2436669,1674,698183468,30.31,0.164340684,23.706669,53.82,23.32373697,High Risk
2023,SustainFin Services,39902,546.9,4774,696,47.93,74.6,1556241,1397,308505268,58.21,0.080175394,30.314241,74.6,31.50634246,High Risk
2024,Bharat MicroFinance,40012,778.49,2639,148,40.56,78.21,3877042,1571,300249296,73.58,0.063499238,28.213042,78.21,31.9523123,High Risk
