Year,Company,Energy_Consumption_kWh,Carbon_Emissions_tCO2,Water_Usage_KL,Waste_Generated_kg,Female_Employees_Percent,Board_Independence_Percent,CSR_Spend_INR,Employee_Count,Loan_Portfolio_Value_INR,ESG_Compliance_Score
2023,GreenCredit NBFC,18119,429.79,2251,1307,31.11,45.03,2674887,273,405772633,31.39
2025,EcoLend Capital,12644,1011.27,695,204,33.06,84.26,115734,1792,679919489,57.5
2025,NextGen Lending,13653,275.17,4651,327,43.32,87.79,1739434,199,349267247,87.19
2022,EcoLend Capital,19416,1799.79,4763,554,22.93,81.25,384073,1719,59326714,53.33
2022,Bharat MicroFinance,29897,290.28,4733,1966,23.18,55.55,2720762,1084,701643311,88.01
2025,UrbanGrowth NBFC,6874,1271.46,4259,672,28.88,83.01,1881792,1414,118956740,92.36
2023,Bharat MicroFinance,15429,745.59,1027,1865,16.19,42.91,1317812,1515,161251547,35.2
2023,UrbanGrowth NBFC,17213,1628.12,4996,1830,41.76,74.26,1874621,1218,219733071,37.61
2022,FutureTrust Finance,22640,1220.64,4341,200,32.93,46.21,334912,1344,707650910,87.57
2025,FutureTrust Finance,41008,837.78,4904,230,50.75,40.63,4219040,1605,669851496,32.13
2022,UrbanGrowth NBFC,20802,1969.36,4344,1364,40.88,48.77,4406460,1973,524834278,76.03
2022,UrbanGrowth NBFC,21122,225.84,2367,1914,43.19,88.17,1369062,981,672073367,60.8
2024,GreenCredit NBFC,26653,1197.79,3929,1996,41.87,77.71,4780242,1191,751189937,74.06
2024,GreenCredit NBFC,48671,1980.18,4032,1592,31.72,65.9,2103296,1269,151663689,42.53
2024,EcoLend Capital,29101,1412.81,3345,1481,52.31,86.85,3591550,1970,428315364,78.64
2023,Bharat MicroFinance,6409,1505.56,1223,257,51.57,60.81,812096,1791,445706775,63.7
2025,NextGen Lending,48388,160.97,4479,177,34.3,42.01,1269630,360,893756580,33.11
2025,Bharat MicroFinance,39600,140.59,1019,72,46.17,69.73,999985,1628,377320815,55.97
2025,SustainFin Services,23408,168.61,1806,1080,54.4,81.42,1076999,749,872489497,68.04
2025,Bharat MicroFinance,10736,1984.28,1892,537,28.25,54.3,3225983,1015,800651276,77.86
2024,NextGen Lending,9993,1961.09,1562,361,39.99,55.87,917864,1408,680583253,68.18
2023,GreenCredit NBFC,48871,735.57,658,711,37.78,73.58,4351930,1625,732546324,85.47
2023,EcoLend Capital,36247,652.87,2472,654,36.63,80.22,4657286,1959,49453917,67.86
2024,NextGen Lending,33821,377.32,4985,453,52.32,61.7,1442276,1311,353214188,34.26
2023,Bharat MicroFinance,8213,725.37,3901,823,20.06,44.45,3012930,692,792340163,30.9
2024,Indifi Finance,48123,803.28,3942,1616,35.66,77.33,729257,976,385843591,76.67
2025,FutureTrust Finance,34495,1521.74,3796,1548,16.03,61.33,1094306,1042,349093205,41.05
2024,NextGen Lending,11208,1745.96,3327,1690,27.32,85.51,4109620,373,108637552,30.79
2025,SustainFin Services,14644,1518.8,2242,1558,42,52.66,4091321,1318,429603640,94.6
2025,EcoLend Capital,11453,1328.3,439,506,46.22,63.16,4362409,572,661622000,52.04
2022,NextGen Lending,16093,1555.21,3171,1007,49.17,75.41,4961291,554,691983948,37.19
2024,UrbanGrowth NBFC,16263,1503.15,4963,394,18.06,52.26,1039702,1608,867225120,79.62
2022,Bharat MicroFinance,5305,1003.92,3863,689,22.38,51.34,1850871,530,209548237,47.54
2024,Indifi Finance,39152,738.12,1337,1961,31.06,76.43,4970112,931,324532057,54.1
2024,FutureTrust Finance,37021,637.28,2361,91,30.25,49,3666638,955,459734474,57.26
2022,Indifi Finance,22958,1390.78,1200,663,25.16,45.96,4473098,343,364050122,93.69
2022,EcoLend Capital,5872,1922.68,1655,274,52.47,52.95,3194663,1677,568425090,57.61
2024,Bharat MicroFinance,46128,1204,1594,1598,36.36,81.02,2856748,648,433394243,94.28
2023,GreenCredit NBFC,26962,1833.8,1761,662,41.28,83.19,4150200,1544,827218953,33.43
2025,FutureTrust Finance,47563,127.04,4040,972,44.99,45.22,3220688,1823,452867063,43.59
2022,Bharat MicroFinance,22414,1609.49,1669,900,36.76,45.48,651195,705,38247091,51.44
2025,Indifi Finance,14926,1721.85,4900,641,48.35,81.86,916956,1984,288299386,35.84
2023,GreenCredit NBFC,44673,1298.89,4495,96,54.39,87.3,3679046,188,341530785,74.99
2023,SustainFin Services,42210,1874.72,2734,1514,30.68,64.01,4274563,1125,212738836,33.81
2023,EcoLend Capital,20290,1220.83,4379,1919,40.75,82.45,1958569,211,79054463,44.33
2022,EcoLend Capital,8667,557.02,2107,1823,27.68,84.47,521171,916,333828879,86.88
2023,FutureTrust Finance,22660,509.86,3788,821,17.76,58.04,4178045,319,718095259,50.01
2022,Indifi Finance,11553,1156.09,3188,1688,16.08,65.23,1139802,330,422306237,61.75
2023,SustainFin Services,21926,1822.32,2515,455,24.3,68.56,3518728,1200,687813412,46.83
2025,UrbanGrowth NBFC,9808,237.5,664,1952,21.49,78.74,1682006,364,268953189,32.53
2025,FutureTrust Finance,33612,1248.34,2465,1639,43.89,62.96,842661,1608,892851269,39.87
2024,Bharat MicroFinance,45499,1562.63,1457,1814,33.53,65.37,2075551,679,326901946,47.52
2025,UrbanGrowth NBFC,33015,319.26,2407,1202,36.6,43.73,2721716,1030,839175322,67.84
2024,FutureTrust Finance,38351,321.86,979,1252,18.27,42.71,1482727,1875,874957825,72.17
2025,Indifi Finance,14138,795.64,3354,518,15.78,76.98,2671108,165,789115409,56.05
2022,SustainFin Services,45463,620.37,755,163,32.41,64.11,485518,1414,892356350,90.3
2025,Indifi Finance,41241,476.8,3424,624,25.23,44.48,499806,781,282834260,42.12
2024,EcoLend Capital,6198,477.52,3292,1871,39.88,52.04,2897649,137,438970262,82.11
2024,UrbanGrowth NBFC,32447,348.27,1473,1676,35.47,73.87,3023723,1711,474624225,86.03
2023,GreenCredit NBFC,41763,1260.62,1412,1567,48.14,65.24,883978,560,22271373,82.63
2022,NextGen Lending,17113,1407.44,2092,1235,48.54,79.72,4439411,210,295343930,56.2
2025,Bharat MicroFinance,33749,1435.58,993,78,36.49,59.67,270120,602,893705295,38.65
2023,EcoLend Capital,42303,1111.47,2919,1653,51.27,45.75,3525622,1878,189020518,38.85
2025,EcoLend Capital,43639,1910.52,4514,760,52.31,53.38,1472799,767,666276219,34.06
2025,UrbanGrowth NBFC,24687,1773.01,3288,874,24.77,45.5,1740883,847,137199954,33.99
2023,Bharat MicroFinance,7447,1919.5,1262,509,54.1,64.02,3998532,217,122230552,63.35
2023,FutureTrust Finance,14408,838.71,2024,338,54.44,63.71,1514429,707,53390712,32.98
2023,EcoLend Capital,44612,1767.79,900,415,17.6,43.7,4273644,1082,394106736,67.55
2023,NextGen Lending,22674,1549.46,2389,1545,15.09,49.57,880465,134,65123071,34.85
2023,SustainFin Services,17413,745.95,502,1175,17.34,88.49,2792483,1101,342571175,81.83
2025,EcoLend Capital,12549,302.53,4641,754,28.99,89.17,1035106,1990,177792210,35.75
2023,SustainFin Services,28071,1396.98,375,168,47.32,57.13,1318861,407,718543933,67.91
2022,Indifi Finance,13693,359.26,3191,1491,35.18,47.23,2294503,1886,259979724,83.44
2024,Bharat MicroFinance,48831,658.17,4057,514,26.85,49.42,3619735,1519,233648789,60.14
2023,FutureTrust Finance,21770,1050.69,1402,153,17.2,44.07,3243170,822,464039029,79.69
2023,SustainFin Services,46371,1391.78,2891,99,30.83,44.27,2473886,1669,462558096,65.6
2025,EcoLend Capital,7006,1859.83,4376,1770,16.45,49.65,4496287,1291,744650017,72.87
2023,FutureTrust Finance,10213,1227.16,4702,903,21.91,63.52,3892486,1287,158637444,58.32
2023,NextGen Lending,41636,1375.68,1404,866,50.15,75.64,2024126,507,310987166,31.68
2023,FutureTrust Finance,14530,689.03,1492,524,45.47,47.9,4115369,99,741073128,84.44
2025,SustainFin Services,11637,1405.86,4110,768,54.83,60.85,3446513,1181,854236917,86.89
2023,Bharat MicroFinance,9964,931.8,1793,1664,50.78,44.28,3044964,1814,339112284,52.01
2024,SustainFin Services,39070,1728.17,3760,1257,49.23,71.08,3093694,662,662999473,45.92
2025,GreenCredit NBFC,12749,845.66,4789,904,21.99,61.54,4509507,1850,133919718,43.7
2024,GreenCredit NBFC,5846,989.72,2438,1213,40.93,79.97,4608941,1409,193245520,84.5
2025,FutureTrust Finance,18390,921.92,753,1804,39.02,84.09,4586880,1895,565137519,91.05
2023,UrbanGrowth NBFC,18735,1641.13,2617,162,51.72,52.17,4717948,1655,827652223,63.41
2024,Bharat MicroFinance,28905,1912.03,2992,1641,46.24,60.05,2852713,1476,310980483,30.96
2025,UrbanGrowth NBFC,19876,721.82,4133,803,45.99,64.87,4755239,1049,792708269,70.21
2022,GreenCredit NBFC,18967,1002.55,3373,281,27.99,89.81,667511,1671,27334551,45.42
2023,EcoLend Capital,23262,1441.26,872,186,19.98,85.79,4967114,1078,490647225,57.95
2025,Indifi Finance,41873,1801.23,2614,672,29.76,88.5,1478973,1703,397349771,76.77
2022,FutureTrust Finance,25014,1038.03,2801,926,23.34,63.2,1040206,1833,22560824,32.79
2025,Indifi Finance,29054,306.9,4844,974,44.11,89.98,1755372,1119,486991319,69.97
2022,GreenCredit NBFC,34955,800.48,3604,1238,33.37,41.61,2534900,154,458068531,42.23
2023,SustainFin Services,28051,1145.69,1889,1478,24.29,88.39,1858031,1665,172087482,60.78
2024,NextGen Lending,33385,893.3,4152,168,41.32,49.62,830002,1015,542481864,57.16
2022,FutureTrust Finance,40587,454.46,1535,1586,17.76,88.94,2352680,1659,97754848,50.87
2025,GreenCredit NBFC,32483,170.28,1333,1574,51.71,62.74,4625759,1299,192023152,37.59
2023,Bharat MicroFinance,32653,1406.08,4481,381,38.13,68.97,498010,1635,245300768,60.76
2022,EcoLend Capital,45845,1986.2,4280,1650,33.44,85.37,2810213,1028,708897896,68.66
2025,NextGen Lending,49790,1846.49,2357,716,24.96,89.21,3616279,944,647073135,68
2025,FutureTrust Finance,47018,1398.21,3471,1353,36.92,48.58,4386846,1932,840057526,79.4
2025,FutureTrust Finance,35894,1698.91,1544,1417,26.49,70.45,4449103,110,357656364,50.71
2022,Bharat MicroFinance,34842,585.88,2763,226,30.78,74.64,4576881,1437,820287812,94.25
2022,UrbanGrowth NBFC,24648,1282.63,2180,595,50.54,75.41,4504832,799,457252358,54.79
2022,SustainFin Services,36756,215.15,260,1176,22.77,50.51,4559140,286,419070056,30.86
2024,FutureTrust Finance,27407,1443.65,3613,1960,28.92,43.5,1293973,1121,232534139,43.91
2022,SustainFin Services,49561,1942.76,2091,1197,41.23,58.81,1410782,1819,178453083,60.02
2022,GreenCredit NBFC,22058,1735.51,1799,1898,43.99,80.58,4184507,344,560664391,63.98
2022,EcoLend Capital,15070,1115.44,3556,532,19.6,88.53,4896935,1631,359013373,65.35
2024,NextGen Lending,44025,1598.61,2138,1123,52.45,62.23,1379097,1328,313272739,86.87
2022,NextGen Lending,38779,1893.41,1805,735,16.08,85.71,1075265,126,84463501,51.19
2025,EcoLend Capital,21616,510.43,968,315,17.68,76.12,2284616,1704,469680899,79.4
2022,FutureTrust Finance,35373,1607.19,1284,1969,45.48,45.9,4934381,1628,849171991,69.04
2025,FutureTrust Finance,39941,612.71,406,1801,45.86,57.27,4203408,612,571413155,50.65
2025,GreenCredit NBFC,41152,1766.2,2099,1164,41.64,77.22,4534820,1959,72033724,77.13
2025,UrbanGrowth NBFC,5797,286.87,2799,312,35.87,62.36,4347964,1629,514186503,48.13
2024,UrbanGrowth NBFC,44889,438.61,2524,447,26.55,72.8,3761970,70,431047137,56.57
2024,UrbanGrowth NBFC,18594,1469.17,958,1812,48.6,77.98,3484438,1757,294157984,54.27
2024,SustainFin Services,12690,432.08,3800,796,42.95,89.05,4359676,1755,44221117,31.35
2022,UrbanGrowth NBFC,17669,400.3,1826,448,53.72,85.91,4173802,345,339436054,34.78
2025,EcoLend Capital,23973,1155.39,4771,1380,33.17,57.21,4281016,909,355870479,36.45
2024,NextGen Lending,26085,1686.48,325,744,33.82,80.14,1672572,1488,15876947,80.32
2024,NextGen Lending,33787,610.09,2513,1710,46.66,58.62,789960,877,722003857,55.11
2022,SustainFin Services,30084,1698.16,3517,413,54.72,72.31,3318921,937,268565837,70.86
2024,GreenCredit NBFC,29051,1635.11,2768,236,50.86,43.08,1798973,1481,590340560,88.65
2022,EcoLend Capital,16554,1200.3,1269,1942,26.9,79.2,1116149,1861,303057286,64.02
2023,NextGen Lending,42639,1328.47,4142,378,53.14,89.56,2510681,788,170260304,85.27
2024,EcoLend Capital,18354,176.84,3395,1067,22.92,66.95,2921855,53,230078052,91.5
2023,NextGen Lending,10289,797.56,3124,1880,31.86,86.63,2377042,1326,731718912,42.69
2022,Indifi Finance,29744,600.45,3709,480,50.48,83.64,1965572,360,530840046,82.84
2025,GreenCredit NBFC,22945,385.01,843,1106,27.54,40.58,3510396,1081,301090811,77.74
2024,GreenCredit NBFC,29243,840.35,4242,594,29.09,44.48,2889294,1039,553061212,89.83
2022,Bharat MicroFinance,44054,774.32,948,1111,54.79,61.82,2631559,1729,361959976,70.98
2025,Indifi Finance,29227,1484.89,3996,785,33.04,53.23,377845,105,480798290,77.73
2025,SustainFin Services,32748,1236.38,3936,582,52.9,60.12,1542158,334,284246496,51.48
2023,NextGen Lending,21958,1834.89,2016,630,25.96,65.53,4537442,188,660955215,42.78
2022,Bharat MicroFinance,14934,376.27,4750,988,35.03,63.88,1226337,508,343397886,58.38
2025,NextGen Lending,15550,213.52,1973,316,30.31,48.12,3835083,738,331829990,77.5
2024,NextGen Lending,9024,1115.75,1272,526,37.57,47.42,2536015,1505,819559074,67.51
2024,UrbanGrowth NBFC,36772,101.95,4249,1261,50.94,60.68,2403936,1495,742850436,45.77
2023,UrbanGrowth NBFC,13722,1596.67,3848,735,54.64,74.55,3034692,276,890333482,50.83
2025,UrbanGrowth NBFC,7120,1061.35,2948,1455,35.04,69.56,3286448,399,325324827,85.06
2022,UrbanGrowth NBFC,35089,1027.32,720,505,22,44.3,2814890,1313,315318657,82.02
2024,UrbanGrowth NBFC,26348,788.74,4689,780,17.02,54.14,1509290,1442,676018017,72.62
2025,Indifi Finance,10877,812.45,4391,1129,21.38,60.73,2711137,880,246560755,71.54
2025,GreenCredit NBFC,48488,919.15,284,1567,44.86,56.62,2909607,1808,839636474,65.18
2023,SustainFin Services,23904,130.46,1259,1882,38.77,62.35,4657453,679,804975131,52.71
2024,EcoLend Capital,25792,258.74,3199,412,44.95,61.95,3526093,725,659319638,67.26
2024,UrbanGrowth NBFC,31037,1059.59,615,1372,53.16,81.65,1486090,1514,278605108,46.94
2022,Indifi Finance,22335,385.23,4890,1637,43.27,81.72,1923392,1018,340883263,53.22
2024,Bharat MicroFinance,19659,1579.65,4516,1062,46.1,87,3403347,490,866307263,93.36
2022,Bharat MicroFinance,34684,621.52,4101,353,32.09,66.18,619815,777,845003558,74.67
2024,NextGen Lending,5964,286.01,1542,1853,35.45,53.82,2436669,1674,698183468,30.31
2023,SustainFin Services,39902,546.9,4774,696,47.93,74.6,1556241,1397,308505268,58.21
2024,Bharat MicroFinance,40012,778.49,2639,148,40.56,78.21,3877042,1571,300249296,73.58
2022,SustainFin Services,40571,167.1,3390,605,36.42,57.44,625886,638,430352080,80.91
2022,SustainFin Services,8911,369.18,3340,183,23.85,81.23,666217,482,575114509,72.67
2023,Indifi Finance,16216,715.31,2692,196,39.11,74.7,1481294,1965,139858683,91.56
2024,EcoLend Capital,6408,689.91,4614,277,26.64,88.51,1809068,710,214605465,50.07
2024,UrbanGrowth NBFC,26621,1620.73,4588,1947,38.61,57.27,2326858,714,736691551,89.87
2023,SustainFin Services,25977,1702.19,3013,1305,33.56,86.13,3419496,1358,337223735,69.62
2024,Indifi Finance,18195,467.5,4811,1947,19.07,57.38,150593,1307,697997469,34.35
2024,NextGen Lending,48938,335.49,1279,449,49.29,83.32,3324291,249,437937975,85.78
2022,GreenCredit NBFC,45431,1304.91,3826,1468,38.25,56.39,550351,1114,567851563,72.86
2024,NextGen Lending,47577,1628.78,769,917,51.12,85.43,805419,278,121609142,30.52
2024,Indifi Finance,12113,1931.07,4439,1644,52.08,40.84,3996039,1058,645391500,92.62
2023,Indifi Finance,45910,112.91,508,653,35.7,60.25,1863218,1254,330719436,52.7
2023,Indifi Finance,27761,885.99,4313,1054,42.12,42.51,2790457,322,110962009,38.52
2025,SustainFin Services,29992,1494.58,3072,941,50.82,60.37,4742853,341,687692270,30.25
2022,Indifi Finance,18778,1674.26,1389,1701,42.21,61.08,3674992,713,149543457,77.84
2024,GreenCredit NBFC,26985,218.34,3138,1160,24.76,85.39,1979819,970,302220033,75.52
2024,SustainFin Services,9367,1393.17,4058,468,25.34,79.99,4132211,504,591365230,87.48
2025,NextGen Lending,15786,648.98,2039,1133,31.76,53.33,215611,1556,626190233,71.15
2024,GreenCredit NBFC,47706,241.73,353,1748,16.51,81.76,1856859,1580,516897051,77.14
2022,Bharat MicroFinance,49461,1029.29,309,556,29.84,49.07,4752796,1700,551105338,91.99
2025,FutureTrust Finance,35908,400.49,537,706,20.74,74.62,1398867,183,146514348,34.41
2022,NextGen Lending,16051,1500.31,706,216,48.09,53.87,1467550,1927,309926080,93.13
2025,Indifi Finance,41746,1508.4,2420,1564,46.29,88.35,1112958,1951,559374132,30.4
2025,UrbanGrowth NBFC,20611,1699.93,3265,181,22,86.68,4538145,1335,86012662,64.46
2023,UrbanGrowth NBFC,9490,817.38,2006,1249,26.39,55.09,805504,117,25209908,45.81
2022,SustainFin Services,36313,125.29,3417,1528,37.8,41.47,3036008,1124,373283142,37.05
2024,UrbanGrowth NBFC,11377,593.5,2646,1633,24.98,72.37,4983609,508,130993282,44.91
2024,NextGen Lending,14903,988.84,1188,387,17.22,48.14,4421936,67,879815518,89.66
2022,SustainFin Services,19567,1418.62,684,1574,45.61,45.88,3140336,922,632608629,53.51
2024,NextGen Lending,27885,825.88,3632,925,18.64,85.36,2600580,670,83569712,75.05
2024,Indifi Finance,33222,1118.49,2206,111,42.11,68.19,4768893,1907,260939714,41.34
2022,EcoLend Capital,31606,1096.1,373,1200,20.99,86.7,1561229,830,895834664,72.2
2025,EcoLend Capital,22440,413.47,2066,72,15.31,53.23,1666841,155,385672078,73.44
2022,GreenCredit NBFC,7260,1283.79,1581,1261,37.5,56.61,2973540,959,265860642,35.33
2025,Indifi Finance,35267,934.58,1662,1741,26.39,86.84,541676,1151,531529440,52.08
2024,UrbanGrowth NBFC,32002,1635.05,1253,1178,20.2,62.28,2306140,1119,47884241,92.64
2024,Indifi Finance,21833,1412.16,2800,347,42.4,51.7,4295901,427,70439102,62.26
2024,FutureTrust Finance,8498,311.79,4362,1813,40.77,60.76,1556953,1222,548124430,87.4
2023,EcoLend Capital,15518,1028.64,4783,1239,31.46,57.55,4603463,59,484046977,52.31
2025,UrbanGrowth NBFC,17501,1434.74,984,900,18.54,79.39,2971716,1743,194179900,76.39
2023,NextGen Lending,27254,265.32,3088,1059,33.63,60.55,4958415,967,426265679,53.47
2023,NextGen Lending,39076,1605.74,447,107,19.17,43.85,4496712,361,723652980,64.58
2022,EcoLend Capital,20902,521.81,1830,496,54.77,70.28,4249337,1488,316066455,94.97
2023,Indifi Finance,38485,1055.86,2706,492,24.39,84.44,490414,551,769338079,57.98
2022,UrbanGrowth NBFC,30545,1887.07,925,1059,15.12,85.64,3804251,225,47383083,46.12
2022,GreenCredit NBFC,8345,1185.54,2623,1584,23.8,64.11,4513718,870,453906308,73.39
2023,NextGen Lending,20370,905.7,3128,1606,39.79,40.66,3812788,1016,617006775,31.48
2025,Indifi Finance,33231,112.91,3683,1044,54.06,70.03,1810514,257,251992822,51.08
2025,GreenCredit NBFC,46863,353.49,2891,1635,36.02,63.39,2335329,439,292244047,76.04
2025,Bharat MicroFinance,14642,1199.46,2349,947,32.8,87.08,759665,81,166764823,56.04
2025,UrbanGrowth NBFC,22839,1038.27,4352,804,54.69,84.3,2709818,818,556020527,81.89
2025,EcoLend Capital,28681,791.28,3464,386,21.6,84.98,4638097,1869,138678165,63.19
2023,Bharat MicroFinance,12035,1854.11,4726,1916,22.91,79.14,2354163,1705,628063821,36.61
2023,FutureTrust Finance,38299,731.72,2711,318,30.23,52.49,3244116,1682,230811086,81.92
2024,Bharat MicroFinance,40035,1120.59,4457,105,44.9,68.82,629573,778,351675538,92.48
2025,SustainFin Services,28583,1180.56,2164,1050,27.1,82.31,4070214,1352,433987341,34.67
2023,EcoLend Capital,27105,1102.19,2279,269,33.8,79.32,2325390,1513,529036170,93.74
2024,GreenCredit NBFC,21130,1007.41,1395,1090,52.57,81.19,1207356,1682,794319529,49.48
2025,Indifi Finance,18736,740.42,2344,1886,49.91,63.88,4209728,467,881293089,67.11
2022,Bharat MicroFinance,47281,1826.65,338,1382,52.88,53.29,1311972,974,650471988,35.13
2024,NextGen Lending,18815,956.53,4436,137,21.67,43.15,3535041,1835,624075505,83.25
2023,UrbanGrowth NBFC,29396,1104.05,1536,1054,34.29,53.92,926093,1527,155712000,58.64
2022,Bharat MicroFinance,29312,1347.31,3227,531,43.52,40.98,418866,709,671214462,57.79
2022,EcoLend Capital,17244,228.55,1888,1110,44.32,56.32,4289481,92,462294741,91.14
2022,NextGen Lending,47668,1584.45,397,703,37,87.63,4482391,1474,888345997,55.54
2024,NextGen Lending,16718,1073.76,1644,1186,47.83,53.38,255338,965,105087033,75.31
2023,FutureTrust Finance,21784,1348.64,2612,247,16.71,86.52,1981916,267,164872074,91.78
2022,UrbanGrowth NBFC,35683,1566.82,4833,986,22.88,88.64,4873744,1817,880090929,91.06
2025,Bharat MicroFinance,49590,1760.79,3737,1257,28.12,45.14,1456864,1827,522106754,83.4
2022,GreenCredit NBFC,48997,845.22,1492,1991,44.16,80.59,1853002,1577,265472011,90.77
2022,UrbanGrowth NBFC,36428,1641.72,4218,901,51.07,87.44,2662166,1626,872219304,55.45
2024,Bharat MicroFinance,41759,591.79,502,456,36.15,50.51,2485360,435,342145477,69.34
2024,UrbanGrowth NBFC,31490,1354.64,2226,1757,43.33,59.25,4497321,1478,761639685,60.26
2023,Indifi Finance,45701,295.14,1393,465,38.78,81.9,2645227,1366,590961107,62.36
2025,SustainFin Services,46001,138.06,4014,1799,51.98,47.03,2236766,682,359761034,75.96
2024,Bharat MicroFinance,21410,281.95,4463,792,51,68,831065,797,291619849,33.28
2022,NextGen Lending,40386,706.83,4510,1187,47.32,52.07,453548,1638,812748974,87.41
2023,GreenCredit NBFC,14362,159.08,343,1416,26.18,78.25,794677,927,750471235,91.88
2022,Bharat MicroFinance,44407,1297.93,3819,432,29.92,70.94,3714479,1905,262600597,51.13
2022,Bharat MicroFinance,29011,701.43,3494,1579,31.66,70.88,3309289,1884,679926639,57.56
2024,Indifi Finance,12042,1499.11,2087,133,15.17,85.81,1520633,1402,253551003,89.93
2023,NextGen Lending,30286,187.24,4764,1750,24.24,73.62,3744260,515,592385391,46.58
2025,SustainFin Services,16391,511.73,2212,540,43.55,47.37,4738888,200,310469639,89.19
2025,Indifi Finance,31999,875.21,1527,863,36.78,48.7,600660,1639,453577423,83.72
2024,SustainFin Services,7018,827.04,1943,600,53.31,53.73,803921,249,282384117,91.04
2024,SustainFin Services,17952,348.9,3030,299,16.17,41.9,1922970,1185,590037707,44.15
2023,SustainFin Services,21240,1988.86,1167,668,30.13,58.25,4607442,373,804249585,77.92
2025,Indifi Finance,26262,640.44,334,1491,43.29,59.15,717471,1804,157853438,48.96
2025,UrbanGrowth NBFC,24282,1469.96,4314,1410,20.35,75.47,3078798,100,741456488,80.95
2025,Bharat MicroFinance,27459,518.05,2845,1536,34.98,56.41,986373,1443,758764067,81.73
2022,SustainFin Services,39815,1767.92,4436,646,15.63,82.83,3152648,838,25269953,37.23
2025,UrbanGrowth NBFC,22942,836.74,4701,1195,22.21,59.21,2548077,583,281343055,33.31
2022,Bharat MicroFinance,6722,1811.71,3982,1330,52.53,89.97,110560,97,275938206,55.54
2023,NextGen Lending,41820,749.49,4795,414,38.97,63.75,3723459,910,35017293,84
2022,Bharat MicroFinance,6651,116.42,234,1239,45.37,84.37,1439799,916,308180228,42.21
2023,NextGen Lending,26606,1082.34,4951,1939,19.09,51.04,4939624,1608,660997014,67.33
2025,GreenCredit NBFC,39546,1097.1,4951,974,24.38,40.17,253106,1591,737890596,36.16
2025,FutureTrust Finance,5683,327.68,3977,1779,22.68,65.65,2831890,181,753873608,37.98
2023,UrbanGrowth NBFC,47239,546.43,3949,965,25.99,65.75,4244641,1301,300533157,71.37
2024,Bharat MicroFinance,23394,1588.64,4319,1115,25.33,87.75,4373181,690,261733684,75.68
2023,NextGen Lending,23966,169.84,3229,1642,37.54,49.76,3461565,764,792742514,46.07
2024,FutureTrust Finance,31469,1030.1,4729,1309,43.23,49.86,3781579,738,485658787,75.42
